spec_id,variant_id,spec_type,spec_name,spec_value,unit_of_measure
1418,141,technical,Diamond Wt,0.5,various
1419,141,technical,Volume,91.89,various
1420,141,technical,Casting Gold Wt(18kt),1.442673,various
1421,141,technical,Est.Final Gold Wt(18kt),1.1541384,various
1422,142,technical,SKU Code,DOC-PD-15046 Size 1,various
1423,142,technical,Diamond Size(mm),1.0,various
1424,142,technical,Diamond Count,26.0,various
1425,142,technical,Diamond (Princess),4*4,various
1426,142,technical,Diamond Count.3,1.0,various
1427,142,technical,Length(mm),13.11,various
1428,142,technical,Width(mm),6.97,various
1429,142,technical,Diamond Wt,0.5,various
1430,142,technical,Volume,91.89,various
1431,142,technical,Casting Gold Wt(18kt),1.442673,various
1432,142,technical,Est.Final Gold Wt(18kt),1.1541384,various
1433,143,technical,SKU Code,DOC-PD-15046 Size 1,various
1434,143,technical,Diamond Size(mm),1.0,various
1435,143,technical,Diamond Count,26.0,various
1436,143,technical,Diamond (Princess),4*4,various
1437,143,technical,Diamond Count.3,1.0,various
1438,143,technical,Length(mm),13.11,various
1439,143,technical,Width(mm),6.97,various
1440,143,technical,Diamond Wt,0.5,various
1441,143,technical,Volume,91.89,various
1442,143,technical,Casting Gold Wt(18kt),1.442673,various
1443,143,technical,Est.Final Gold Wt(18kt),1.1541384,various
1444,144,technical,SKU Code,DOC-PD-15046 Size 1,various
1445,144,technical,Diamond Size(mm),1.0,various
1446,144,technical,Diamond Count,26.0,various
1447,144,technical,Diamond (Princess),4*4,various
1448,144,technical,Diamond Count.3,1.0,various
1449,144,technical,Length(mm),13.11,various
1450,144,technical,Width(mm),6.97,various
1451,144,technical,Diamond Wt,0.5,various
1452,144,technical,Volume,91.89,various
1453,144,technical,Casting Gold Wt(18kt),1.442673,various
1454,144,technical,Est.Final Gold Wt(18kt),1.1541384,various
1455,145,technical,SKU Code,DOC-PD-15046 Size 1,various
1456,145,technical,Diamond Size(mm),1.0,various
1457,145,technical,Diamond Count,26.0,various
1458,145,technical,Diamond (Princess),4*4,various
1459,145,technical,Diamond Count.3,1.0,various
1460,145,technical,Length(mm),13.11,various
1461,145,technical,Width(mm),6.97,various
1462,145,technical,Diamond Wt,0.5,various
1463,145,technical,Volume,91.89,various
1464,145,technical,Casting Gold Wt(18kt),1.442673,various
1465,145,technical,Est.Final Gold Wt(18kt),1.1541384,various
1466,146,technical,SKU Code,DOC-PD-15046 Size 1,various
1467,146,technical,Diamond Size(mm),1.0,various
1468,146,technical,Diamond Count,26.0,various
1469,146,technical,Diamond (Princess),4*4,various
1470,146,technical,Diamond Count.3,1.0,various
1471,146,technical,Length(mm),13.11,various
1472,146,technical,Width(mm),6.97,various
1473,146,technical,Diamond Wt,0.5,various
1474,146,technical,Volume,91.89,various
1475,146,technical,Casting Gold Wt(18kt),1.442673,various
1476,146,technical,Est.Final Gold Wt(18kt),1.1541384,various
1477,147,technical,SKU Code,DOC-PD-15046 Size 1,various
1478,147,technical,Diamond Size(mm),1.0,various
1479,147,technical,Diamond Count,26.0,various
1480,147,technical,Diamond (Princess),4*4,various
1481,147,technical,Diamond Count.3,1.0,various
1482,147,technical,Length(mm),13.11,various
1483,147,technical,Width(mm),6.97,various
1484,147,technical,Diamond Wt,0.5,various
1485,147,technical,Volume,91.89,various
1486,147,technical,Casting Gold Wt(18kt),1.442673,various
1487,147,technical,Est.Final Gold Wt(18kt),1.1541384,various
1488,148,technical,SKU Code,DOC-PD-15046 Size 1,various
1489,148,technical,Diamond Size(mm),1.0,various
1490,148,technical,Diamond Count,26.0,various
1491,148,technical,Diamond (Princess),4*4,various
1492,148,technical,Diamond Count.3,1.0,various
1493,148,technical,Length(mm),13.11,various
1494,148,technical,Width(mm),6.97,various
1495,148,technical,Diamond Wt,0.5,various
1496,148,technical,Volume,91.89,various
1497,148,technical,Casting Gold Wt(18kt),1.442673,various
1498,148,technical,Est.Final Gold Wt(18kt),1.1541384,various
1499,149,technical,SKU Code,DOC-PD-15046 Size 1,various
1500,149,technical,Diamond Size(mm),1.0,various
1501,149,technical,Diamond Count,26.0,various
1502,149,technical,Diamond (Princess),4*4,various
1503,149,technical,Diamond Count.3,1.0,various
1504,149,technical,Length(mm),13.11,various
1505,149,technical,Width(mm),6.97,various
1506,149,technical,Diamond Wt,0.5,various
1507,149,technical,Volume,91.89,various
1508,149,technical,Casting Gold Wt(18kt),1.442673,various
1509,149,technical,Est.Final Gold Wt(18kt),1.1541384,various
1510,150,technical,SKU Code,DOC-PD-15046 Size 1,various
1511,150,technical,Diamond Size(mm),1.0,various
1512,150,technical,Diamond Count,26.0,various
1513,150,technical,Diamond (Princess),4*4,various
1514,150,technical,Diamond Count.3,1.0,various
1515,150,technical,Length(mm),13.11,various
1516,150,technical,Width(mm),6.97,various
1517,150,technical,Diamond Wt,0.5,various
1518,150,technical,Volume,91.89,various
1519,150,technical,Casting Gold Wt(18kt),1.442673,various
1520,150,technical,Est.Final Gold Wt(18kt),1.1541384,various
1521,151,technical,SKU Code,DOC-PD-15046 Size 1,various
1522,151,technical,Diamond Size(mm),1.0,various
1523,151,technical,Diamond Count,26.0,various
1524,151,technical,Diamond (Princess),4*4,various
1525,151,technical,Diamond Count.3,1.0,various
1526,151,technical,Length(mm),13.11,various
1527,151,technical,Width(mm),6.97,various
1528,151,technical,Diamond Wt,0.5,various
1529,151,technical,Volume,91.89,various
1530,151,technical,Casting Gold Wt(18kt),1.442673,various
1531,151,technical,Est.Final Gold Wt(18kt),1.1541384,various
1532,152,technical,SKU Code,DOC-PD-15046 Size 1,various
1533,152,technical,Diamond Size(mm),1.0,various
1534,152,technical,Diamond Count,26.0,various
1535,152,technical,Diamond (Princess),4*4,various
1536,152,technical,Diamond Count.3,1.0,various
1537,152,technical,Length(mm),13.11,various
1538,152,technical,Width(mm),6.97,various
1539,152,technical,Diamond Wt,0.5,various
1540,152,technical,Volume,91.89,various
1541,152,technical,Casting Gold Wt(18kt),1.442673,various
1542,152,technical,Est.Final Gold Wt(18kt),1.1541384,various
1543,153,technical,SKU Code,DOC-PD-15046 Size 1,various
1544,153,technical,Diamond Size(mm),1.0,various
1545,153,technical,Diamond Count,26.0,various
1546,153,technical,Diamond (Princess),4*4,various
1547,153,technical,Diamond Count.3,1.0,various
1548,153,technical,Length(mm),13.11,various
1549,153,technical,Width(mm),6.97,various
1550,153,technical,Diamond Wt,0.5,various
1551,153,technical,Volume,91.89,various
1552,153,technical,Casting Gold Wt(18kt),1.442673,various
1553,153,technical,Est.Final Gold Wt(18kt),1.1541384,various
1554,154,technical,SKU Code,DOC-PD-15046 Size 1,various
1555,154,technical,Diamond Size(mm),1.0,various
1556,154,technical,Diamond Count,26.0,various
1557,154,technical,Diamond (Princess),4*4,various
1558,154,technical,Diamond Count.3,1.0,various
1559,154,technical,Length(mm),13.11,various
1560,154,technical,Width(mm),6.97,various
1561,154,technical,Diamond Wt,0.5,various
1562,154,technical,Volume,91.89,various
1563,154,technical,Casting Gold Wt(18kt),1.442673,various
1564,154,technical,Est.Final Gold Wt(18kt),1.1541384,various
1565,155,technical,SKU Code,DOC-PD-15046 Size 1,various
1566,155,technical,Diamond Size(mm),1.0,various
1567,155,technical,Diamond Count,26.0,various
1568,155,technical,Diamond (Princess),4*4,various
1569,155,technical,Diamond Count.3,1.0,various
1570,155,technical,Length(mm),13.11,various
1571,155,technical,Width(mm),6.97,various
1572,155,technical,Diamond Wt,0.5,various
1573,155,technical,Volume,91.89,various
1574,155,technical,Casting Gold Wt(18kt),1.442673,various
1575,155,technical,Est.Final Gold Wt(18kt),1.1541384,various
1576,156,technical,SKU Code,DOC-PD-15046 Size 1,various
1577,156,technical,Diamond Size(mm),1.0,various
1578,156,technical,Diamond Count,26.0,various
1579,156,technical,Diamond (Princess),4*4,various
1580,156,technical,Diamond Count.3,1.0,various
1581,156,technical,Length(mm),13.11,various
1582,156,technical,Width(mm),6.97,various
1583,156,technical,Diamond Wt,0.5,various
1584,156,technical,Volume,91.89,various
1585,156,technical,Casting Gold Wt(18kt),1.442673,various
1586,156,technical,Est.Final Gold Wt(18kt),1.1541384,various
1587,157,technical,SKU Code,DOC-PD-15046 Size 1,various
1588,157,technical,Diamond Size(mm),1.0,various
1589,157,technical,Diamond Count,26.0,various
1590,157,technical,Diamond (Princess),4*4,various
1591,157,technical,Diamond Count.3,1.0,various
1592,157,technical,Length(mm),13.11,various
1593,157,technical,Width(mm),6.97,various
1594,157,technical,Diamond Wt,0.5,various
1595,157,technical,Volume,91.89,various
1596,157,technical,Casting Gold Wt(18kt),1.442673,various
1597,157,technical,Est.Final Gold Wt(18kt),1.1541384,various
1598,158,technical,SKU Code,DOC-PD-15046 Size 1,various
1599,158,technical,Diamond Size(mm),1.0,various
1600,158,technical,Diamond Count,26.0,various
1601,158,technical,Diamond (Princess),4*4,various
1602,158,technical,Diamond Count.3,1.0,various
1603,158,technical,Length(mm),13.11,various
1604,158,technical,Width(mm),6.97,various
1605,158,technical,Diamond Wt,0.5,various
1606,158,technical,Volume,91.89,various
1607,158,technical,Casting Gold Wt(18kt),1.442673,various
1608,158,technical,Est.Final Gold Wt(18kt),1.1541384,various
1609,159,technical,SKU Code,DOC-PD-15048 Size 1,various
1610,159,technical,Diamond Size(mm),1.1,various
1611,159,technical,Diamond Count,22.0,various
1612,159,technical,Diamond (Cushion),4.2*4.2,various
1613,159,technical,Diamond Count.4,1.0,various
1614,159,technical,Length(mm),13.56,various
1615,159,technical,Width(mm),7.17,various
1616,159,technical,Diamond Wt,0.47,various
1617,159,technical,Volume,93.48,various
1618,159,technical,Casting Gold Wt(18kt),1.467636,various
1619,159,technical,Est.Final Gold Wt(18kt),1.1741088,various
1620,160,technical,SKU Code,DOC-PD-15048 Size 1,various
1621,160,technical,Diamond Size(mm),1.1,various
1622,160,technical,Diamond Count,22.0,various
1623,160,technical,Diamond (Cushion),4.2*4.2,various
1624,160,technical,Diamond Count.4,1.0,various
1625,160,technical,Length(mm),13.56,various
1626,160,technical,Width(mm),7.17,various
1627,160,technical,Diamond Wt,0.47,various
1628,160,technical,Volume,93.48,various
1629,160,technical,Casting Gold Wt(18kt),1.467636,various
1630,160,technical,Est.Final Gold Wt(18kt),1.1741088,various
1631,161,technical,SKU Code,DOC-PD-15048 Size 1,various
1632,161,technical,Diamond Size(mm),1.1,various
1633,161,technical,Diamond Count,22.0,various
1634,161,technical,Diamond (Cushion),4.2*4.2,various
1635,161,technical,Diamond Count.4,1.0,various
1636,161,technical,Length(mm),13.56,various
1637,161,technical,Width(mm),7.17,various
1638,161,technical,Diamond Wt,0.47,various
1639,161,technical,Volume,93.48,various
1640,161,technical,Casting Gold Wt(18kt),1.467636,various
1641,161,technical,Est.Final Gold Wt(18kt),1.1741088,various
1642,162,technical,SKU Code,DOC-PD-15048 Size 1,various
1643,162,technical,Diamond Size(mm),1.1,various
1644,162,technical,Diamond Count,22.0,various
1645,162,technical,Diamond (Cushion),4.2*4.2,various
1646,162,technical,Diamond Count.4,1.0,various
1647,162,technical,Length(mm),13.56,various
1648,162,technical,Width(mm),7.17,various
1649,162,technical,Diamond Wt,0.47,various
1650,162,technical,Volume,93.48,various
1651,162,technical,Casting Gold Wt(18kt),1.467636,various
1652,162,technical,Est.Final Gold Wt(18kt),1.1741088,various
1653,163,technical,SKU Code,DOC-PD-15048 Size 1,various
1654,163,technical,Diamond Size(mm),1.1,various
1655,163,technical,Diamond Count,22.0,various
1656,163,technical,Diamond (Cushion),4.2*4.2,various
1657,163,technical,Diamond Count.4,1.0,various
1658,163,technical,Length(mm),13.56,various
1659,163,technical,Width(mm),7.17,various
1660,163,technical,Diamond Wt,0.47,various
1661,163,technical,Volume,93.48,various
1662,163,technical,Casting Gold Wt(18kt),1.467636,various
1663,163,technical,Est.Final Gold Wt(18kt),1.1741088,various
1664,164,technical,SKU Code,DOC-PD-15048 Size 1,various
1665,164,technical,Diamond Size(mm),1.1,various
1666,164,technical,Diamond Count,22.0,various
1667,164,technical,Diamond (Cushion),4.2*4.2,various
1668,164,technical,Diamond Count.4,1.0,various
1669,164,technical,Length(mm),13.56,various
1670,164,technical,Width(mm),7.17,various
1671,164,technical,Diamond Wt,0.47,various
1672,164,technical,Volume,93.48,various
1673,164,technical,Casting Gold Wt(18kt),1.467636,various
1674,164,technical,Est.Final Gold Wt(18kt),1.1741088,various
1675,165,technical,SKU Code,DOC-PD-15048 Size 1,various
1676,165,technical,Diamond Size(mm),1.1,various
1677,165,technical,Diamond Count,22.0,various
1678,165,technical,Diamond (Cushion),4.2*4.2,various
1679,165,technical,Diamond Count.4,1.0,various
1680,165,technical,Length(mm),13.56,various
1681,165,technical,Width(mm),7.17,various
1682,165,technical,Diamond Wt,0.47,various
1683,165,technical,Volume,93.48,various
1684,165,technical,Casting Gold Wt(18kt),1.467636,various
1685,165,technical,Est.Final Gold Wt(18kt),1.1741088,various
1686,166,technical,SKU Code,DOC-PD-15048 Size 1,various
1687,166,technical,Diamond Size(mm),1.1,various
1688,166,technical,Diamond Count,22.0,various
1689,166,technical,Diamond (Cushion),4.2*4.2,various
1690,166,technical,Diamond Count.4,1.0,various
1691,166,technical,Length(mm),13.56,various
1692,166,technical,Width(mm),7.17,various
1693,166,technical,Diamond Wt,0.47,various
1694,166,technical,Volume,93.48,various
1695,166,technical,Casting Gold Wt(18kt),1.467636,various
1696,166,technical,Est.Final Gold Wt(18kt),1.1741088,various
1697,167,technical,SKU Code,DOC-PD-15048 Size 1,various
1698,167,technical,Diamond Size(mm),1.1,various
1699,167,technical,Diamond Count,22.0,various
1700,167,technical,Diamond (Cushion),4.2*4.2,various
1701,167,technical,Diamond Count.4,1.0,various
1702,167,technical,Length(mm),13.56,various
1703,167,technical,Width(mm),7.17,various
1704,167,technical,Diamond Wt,0.47,various
1705,167,technical,Volume,93.48,various
1706,167,technical,Casting Gold Wt(18kt),1.467636,various
1707,167,technical,Est.Final Gold Wt(18kt),1.1741088,various
1708,168,technical,SKU Code,DOC-PD-15048 Size 1,various
1709,168,technical,Diamond Size(mm),1.1,various
1710,168,technical,Diamond Count,22.0,various
1711,168,technical,Diamond (Cushion),4.2*4.2,various
1712,168,technical,Diamond Count.4,1.0,various
1713,168,technical,Length(mm),13.56,various
1714,168,technical,Width(mm),7.17,various
1715,168,technical,Diamond Wt,0.47,various
1716,168,technical,Volume,93.48,various
1717,168,technical,Casting Gold Wt(18kt),1.467636,various
1718,168,technical,Est.Final Gold Wt(18kt),1.1741088,various
1719,169,technical,SKU Code,DOC-PD-15048 Size 1,various
1720,169,technical,Diamond Size(mm),1.1,various
1721,169,technical,Diamond Count,22.0,various
1722,169,technical,Diamond (Cushion),4.2*4.2,various
1723,169,technical,Diamond Count.4,1.0,various
1724,169,technical,Length(mm),13.56,various
1725,169,technical,Width(mm),7.17,various
1726,169,technical,Diamond Wt,0.47,various
1727,169,technical,Volume,93.48,various
1728,169,technical,Casting Gold Wt(18kt),1.467636,various
1729,169,technical,Est.Final Gold Wt(18kt),1.1741088,various
1730,170,technical,SKU Code,DOC-PD-15048 Size 1,various
1731,170,technical,Diamond Size(mm),1.1,various
1732,170,technical,Diamond Count,22.0,various
1733,170,technical,Diamond (Cushion),4.2*4.2,various
1734,170,technical,Diamond Count.4,1.0,various
1735,170,technical,Length(mm),13.56,various
1736,170,technical,Width(mm),7.17,various
1737,170,technical,Diamond Wt,0.47,various
1738,170,technical,Volume,93.48,various
1739,170,technical,Casting Gold Wt(18kt),1.467636,various
1740,170,technical,Est.Final Gold Wt(18kt),1.1741088,various
1741,171,technical,SKU Code,DOC-PD-15048 Size 1,various
1742,171,technical,Diamond Size(mm),1.1,various
1743,171,technical,Diamond Count,22.0,various
1744,171,technical,Diamond (Cushion),4.2*4.2,various
1745,171,technical,Diamond Count.4,1.0,various
1746,171,technical,Length(mm),13.56,various
1747,171,technical,Width(mm),7.17,various
1748,171,technical,Diamond Wt,0.47,various
1749,171,technical,Volume,93.48,various
1750,171,technical,Casting Gold Wt(18kt),1.467636,various
1751,171,technical,Est.Final Gold Wt(18kt),1.1741088,various
1752,172,technical,SKU Code,DOC-PD-15048 Size 1,various
1753,172,technical,Diamond Size(mm),1.1,various
1754,172,technical,Diamond Count,22.0,various
1755,172,technical,Diamond (Cushion),4.2*4.2,various
1756,172,technical,Diamond Count.4,1.0,various
1757,172,technical,Length(mm),13.56,various
1758,172,technical,Width(mm),7.17,various
1759,172,technical,Diamond Wt,0.47,various
1760,172,technical,Volume,93.48,various
1761,172,technical,Casting Gold Wt(18kt),1.467636,various
1762,172,technical,Est.Final Gold Wt(18kt),1.1741088,various
1763,173,technical,SKU Code,DOC-PD-15048 Size 1,various
1764,173,technical,Diamond Size(mm),1.1,various
1765,173,technical,Diamond Count,22.0,various
1766,173,technical,Diamond (Cushion),4.2*4.2,various
1767,173,technical,Diamond Count.4,1.0,various
1768,173,technical,Length(mm),13.56,various
1769,173,technical,Width(mm),7.17,various
1770,173,technical,Diamond Wt,0.47,various
1771,173,technical,Volume,93.48,various
1772,173,technical,Casting Gold Wt(18kt),1.467636,various
1773,173,technical,Est.Final Gold Wt(18kt),1.1741088,various
1774,174,technical,SKU Code,DOC-PD-15048 Size 1,various
1775,174,technical,Diamond Size(mm),1.1,various
1776,174,technical,Diamond Count,22.0,various
1777,174,technical,Diamond (Cushion),4.2*4.2,various
1778,174,technical,Diamond Count.4,1.0,various
1779,174,technical,Length(mm),13.56,various
1780,174,technical,Width(mm),7.17,various
1781,174,technical,Diamond Wt,0.47,various
1782,174,technical,Volume,93.48,various
1783,174,technical,Casting Gold Wt(18kt),1.467636,various
1784,174,technical,Est.Final Gold Wt(18kt),1.1741088,various
1785,175,technical,SKU Code,DOC-PD-15048 Size 1,various
1786,175,technical,Diamond Size(mm),1.1,various
1787,175,technical,Diamond Count,22.0,various
1788,175,technical,Diamond (Cushion),4.2*4.2,various
1789,175,technical,Diamond Count.4,1.0,various
1790,175,technical,Length(mm),13.56,various
1791,175,technical,Width(mm),7.17,various
1792,175,technical,Diamond Wt,0.47,various
1793,175,technical,Volume,93.48,various
1794,175,technical,Casting Gold Wt(18kt),1.467636,various
1795,175,technical,Est.Final Gold Wt(18kt),1.1741088,various
1796,176,technical,SKU Code,DOC-PD-15048 Size 1,various
1797,176,technical,Diamond Size(mm),1.1,various
1798,176,technical,Diamond Count,22.0,various
1799,176,technical,Diamond (Cushion),4.2*4.2,various
1800,176,technical,Diamond Count.4,1.0,various
1801,176,technical,Length(mm),13.56,various
1802,176,technical,Width(mm),7.17,various
1803,176,technical,Diamond Wt,0.47,various
1804,176,technical,Volume,93.48,various
1805,176,technical,Casting Gold Wt(18kt),1.467636,various
1806,176,technical,Est.Final Gold Wt(18kt),1.1741088,various
1807,177,technical,SKU Code,DOC-PD-15048 Size 1,various
1808,177,technical,Diamond Size(mm),1.1,various
1809,177,technical,Diamond Count,22.0,various
1810,177,technical,Diamond (Cushion),4.2*4.2,various
1811,177,technical,Diamond Count.4,1.0,various
1812,177,technical,Length(mm),13.56,various
1813,177,technical,Width(mm),7.17,various
1814,177,technical,Diamond Wt,0.47,various
1815,177,technical,Volume,93.48,various
1816,177,technical,Casting Gold Wt(18kt),1.467636,various
1817,177,technical,Est.Final Gold Wt(18kt),1.1741088,various
1818,178,technical,SKU Code,DOC-PD-15048 Size 1,various
1819,178,technical,Diamond Size(mm),1.1,various
1820,178,technical,Diamond Count,22.0,various
1821,178,technical,Diamond (Cushion),4.2*4.2,various
1822,178,technical,Diamond Count.4,1.0,various
1823,178,technical,Length(mm),13.56,various
1824,178,technical,Width(mm),7.17,various
1825,178,technical,Diamond Wt,0.47,various
1826,178,technical,Volume,93.48,various
1827,178,technical,Casting Gold Wt(18kt),1.467636,various
1828,178,technical,Est.Final Gold Wt(18kt),1.1741088,various
1829,179,technical,SKU Code,DOC-PD-15048 Size 1,various
1830,179,technical,Diamond Size(mm),1.1,various
1831,179,technical,Diamond Count,22.0,various
1832,179,technical,Diamond (Cushion),4.2*4.2,various
1833,179,technical,Diamond Count.4,1.0,various
1834,179,technical,Length(mm),13.56,various
1835,179,technical,Width(mm),7.17,various
1836,179,technical,Diamond Wt,0.47,various
1837,179,technical,Volume,93.48,various
1838,179,technical,Casting Gold Wt(18kt),1.467636,various
1839,179,technical,Est.Final Gold Wt(18kt),1.1741088,various
1840,180,technical,SKU Code,DOC-PD-15048 Size 1,various
1841,180,technical,Diamond Size(mm),1.1,various
1842,180,technical,Diamond Count,22.0,various
1843,180,technical,Diamond (Cushion),4.2*4.2,various
1844,180,technical,Diamond Count.4,1.0,various
1845,180,technical,Length(mm),13.56,various
1846,180,technical,Width(mm),7.17,various
1847,180,technical,Diamond Wt,0.47,various
1848,180,technical,Volume,93.48,various
1849,180,technical,Casting Gold Wt(18kt),1.467636,various
1850,180,technical,Est.Final Gold Wt(18kt),1.1741088,various
1851,181,technical,SKU Code,DOC-PD-15048 Size 1,various
1852,181,technical,Diamond Size(mm),1.1,various
1853,181,technical,Diamond Count,22.0,various
1854,181,technical,Diamond (Cushion),4.2*4.2,various
1855,181,technical,Diamond Count.4,1.0,various
1856,181,technical,Length(mm),13.56,various
1857,181,technical,Width(mm),7.17,various
1858,181,technical,Diamond Wt,0.47,various
1859,181,technical,Volume,93.48,various
1860,181,technical,Casting Gold Wt(18kt),1.467636,various
1861,181,technical,Est.Final Gold Wt(18kt),1.1741088,various
1862,182,technical,SKU Code,DOC-PD-15048 Size 1,various
1863,182,technical,Diamond Size(mm),1.1,various
1864,182,technical,Diamond Count,22.0,various
1865,182,technical,Diamond (Cushion),4.2*4.2,various
1866,182,technical,Diamond Count.4,1.0,various
1867,182,technical,Length(mm),13.56,various
1868,182,technical,Width(mm),7.17,various
1869,182,technical,Diamond Wt,0.47,various
1870,182,technical,Volume,93.48,various
1871,182,technical,Casting Gold Wt(18kt),1.467636,various
1872,182,technical,Est.Final Gold Wt(18kt),1.1741088,various
1873,183,technical,SKU Code,DOC-PD-15050 Size 1,various
1874,183,technical,Diamond Size(mm),1.1,various
1875,183,technical,Diamond Count,22.0,various
1876,183,technical,Diamond (Pear),5.8*3.8,various
1877,183,technical,Diamond Count.2,1,various
1878,183,technical,Length(mm),15.91,various
1879,183,technical,Width(mm),6.88,various
1880,183,technical,Diamond Wt,0.42,various
1881,183,technical,Volume,97.97,various
1882,183,technical,Casting Gold Wt(18kt),1.538129,various
1883,183,technical,Est.Final Gold Wt(18kt),1.2305032,various
1884,184,technical,SKU Code,DOC-PD-15050 Size 1,various
1885,184,technical,Diamond Size(mm),1.1,various
1886,184,technical,Diamond Count,22.0,various
1887,184,technical,Diamond (Pear),5.8*3.8,various
1888,184,technical,Diamond Count.2,1,various
1889,184,technical,Length(mm),15.91,various
1890,184,technical,Width(mm),6.88,various
1891,184,technical,Diamond Wt,0.42,various
1892,184,technical,Volume,97.97,various
1893,184,technical,Casting Gold Wt(18kt),1.538129,various
1894,184,technical,Est.Final Gold Wt(18kt),1.2305032,various
1895,185,technical,SKU Code,DOC-PD-15050 Size 1,various
1896,185,technical,Diamond Size(mm),1.1,various
1897,185,technical,Diamond Count,22.0,various
1898,185,technical,Diamond (Pear),5.8*3.8,various
1899,185,technical,Diamond Count.2,1,various
1900,185,technical,Length(mm),15.91,various
1901,185,technical,Width(mm),6.88,various
1902,185,technical,Diamond Wt,0.42,various
1903,185,technical,Volume,97.97,various
1904,185,technical,Casting Gold Wt(18kt),1.538129,various
1905,185,technical,Est.Final Gold Wt(18kt),1.2305032,various
1906,186,technical,SKU Code,DOC-PD-15050 Size 1,various
1907,186,technical,Diamond Size(mm),1.1,various
1908,186,technical,Diamond Count,22.0,various
1909,186,technical,Diamond (Pear),5.8*3.8,various
1910,186,technical,Diamond Count.2,1,various
1911,186,technical,Length(mm),15.91,various
1912,186,technical,Width(mm),6.88,various
1913,186,technical,Diamond Wt,0.42,various
1914,186,technical,Volume,97.97,various
1915,186,technical,Casting Gold Wt(18kt),1.538129,various
1916,186,technical,Est.Final Gold Wt(18kt),1.2305032,various
1917,187,technical,SKU Code,DOC-PD-15050 Size 1,various
1918,187,technical,Diamond Size(mm),1.1,various
1919,187,technical,Diamond Count,22.0,various
1920,187,technical,Diamond (Pear),5.8*3.8,various
1921,187,technical,Diamond Count.2,1,various
1922,187,technical,Length(mm),15.91,various
1923,187,technical,Width(mm),6.88,various
1924,187,technical,Diamond Wt,0.42,various
1925,187,technical,Volume,97.97,various
1926,187,technical,Casting Gold Wt(18kt),1.538129,various
1927,187,technical,Est.Final Gold Wt(18kt),1.2305032,various
1928,188,technical,SKU Code,DOC-PD-15050 Size 1,various
1929,188,technical,Diamond Size(mm),1.1,various
1930,188,technical,Diamond Count,22.0,various
1931,188,technical,Diamond (Pear),5.8*3.8,various
1932,188,technical,Diamond Count.2,1,various
1933,188,technical,Length(mm),15.91,various
1934,188,technical,Width(mm),6.88,various
1935,188,technical,Diamond Wt,0.42,various
1936,188,technical,Volume,97.97,various
1937,188,technical,Casting Gold Wt(18kt),1.538129,various
1938,188,technical,Est.Final Gold Wt(18kt),1.2305032,various
1939,189,technical,SKU Code,DOC-PD-15050 Size 1,various
1940,189,technical,Diamond Size(mm),1.1,various
1941,189,technical,Diamond Count,22.0,various
1942,189,technical,Diamond (Pear),5.8*3.8,various
1943,189,technical,Diamond Count.2,1,various
1944,189,technical,Length(mm),15.91,various
1945,189,technical,Width(mm),6.88,various
1946,189,technical,Diamond Wt,0.42,various
1947,189,technical,Volume,97.97,various
1948,189,technical,Casting Gold Wt(18kt),1.538129,various
1949,189,technical,Est.Final Gold Wt(18kt),1.2305032,various
1950,190,technical,SKU Code,DOC-PD-15050 Size 1,various
1951,190,technical,Diamond Size(mm),1.1,various
1952,190,technical,Diamond Count,22.0,various
1953,190,technical,Diamond (Pear),5.8*3.8,various
1954,190,technical,Diamond Count.2,1,various
1955,190,technical,Length(mm),15.91,various
1956,190,technical,Width(mm),6.88,various
1957,190,technical,Diamond Wt,0.42,various
1958,190,technical,Volume,97.97,various
1959,190,technical,Casting Gold Wt(18kt),1.538129,various
1960,190,technical,Est.Final Gold Wt(18kt),1.2305032,various
1961,191,technical,SKU Code,DOC-PD-15050 Size 1,various
1962,191,technical,Diamond Size(mm),1.1,various
1963,191,technical,Diamond Count,22.0,various
1964,191,technical,Diamond (Pear),5.8*3.8,various
1965,191,technical,Diamond Count.2,1,various
1966,191,technical,Length(mm),15.91,various
1967,191,technical,Width(mm),6.88,various
1968,191,technical,Diamond Wt,0.42,various
1969,191,technical,Volume,97.97,various
1970,191,technical,Casting Gold Wt(18kt),1.538129,various
1971,191,technical,Est.Final Gold Wt(18kt),1.2305032,various
1972,192,technical,SKU Code,DOC-PD-15050 Size 1,various
1973,192,technical,Diamond Size(mm),1.1,various
1974,192,technical,Diamond Count,22.0,various
1975,192,technical,Diamond (Pear),5.8*3.8,various
1976,192,technical,Diamond Count.2,1,various
1977,192,technical,Length(mm),15.91,various
1978,192,technical,Width(mm),6.88,various
1979,192,technical,Diamond Wt,0.42,various
1980,192,technical,Volume,97.97,various
1981,192,technical,Casting Gold Wt(18kt),1.538129,various
1982,192,technical,Est.Final Gold Wt(18kt),1.2305032,various
1983,193,technical,SKU Code,DOC-PD-15050 Size 1,various
1984,193,technical,Diamond Size(mm),1.1,various
1985,193,technical,Diamond Count,22.0,various
1986,193,technical,Diamond (Pear),5.8*3.8,various
1987,193,technical,Diamond Count.2,1,various
1988,193,technical,Length(mm),15.91,various
1989,193,technical,Width(mm),6.88,various
1990,193,technical,Diamond Wt,0.42,various
1991,193,technical,Volume,97.97,various
1992,193,technical,Casting Gold Wt(18kt),1.538129,various
1993,193,technical,Est.Final Gold Wt(18kt),1.2305032,various
1994,194,technical,SKU Code,DOC-PD-15050 Size 1,various
